Model,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
FPN with mobilenet,Dice class 1,0.6418162664,0.9179477738,0.922780644796172,0.9253079894,0.9258135888,0.9258135888,,,
Params:,Dice class 2,0.1402385048,0.5282485255,0.522848702465575,0.4661137829,0.5242752348,0.5242752348,0.4327858239,0.5535342961,0.49316006
6106564,Dice class 3,0.2123837845,0.4651494489,0.503443758880287,0.5032585401,0.5050046531,0.5050046531,,,
Inference time:,Dice avg,0.4697126355,0.7183193081,0.727899971478969,0.7152165909,0.7294921255,0.7294921255,0.6354515873,0.7023188829,0.6688852351
0.0180423235,Mean IoU,0.460275948,0.7151172161,0.718141555786133,0.704236567,0.7200034261,0.7200034261,0.4974032938,0.5963051319,0.5468542129
,Accuracy,0.8988505602,0.9448453784,0.947080075740814,0.9523479342,0.9477305412,0.9477305412,0.7456459999,0.7974680066,0.7715570033
,Rmse,0.6031384468,0.4678968191,0.458320677280426,0.4383084476,0.4578878582,0.4578878582,0.5027381182,0.449246794,0.4759924561
,,,,,,,,,,
,Metric,Real set,Validation set,Test set,Clean,Ground,Test - removed bad labels,Rock-A,Rock-B,Average
,Dice class 0,0.8104837801,0.9560714282,0.957018289404074,0.9588669141,0.9552934443,0.9552934443,0.8417075583,0.8395759755,0.8406417669
PSPNet with mobilenet,Dice class 1,0.4651401918,0.8595253001,0.904392751323227,0.8559217925,0.8570202777,0.8570202777,,,
Params:,Dice class 2,0.1995517015,0.5301978926,0.434560142761437,0.4938367922,0.524892602,0.524892602,0.3123185413,0.4477047828,0.3800116621
1869764,Dice class 3,0.2728096512,0.4496106321,0.446718556987521,0.4954535687,0.478512209,0.478512209,,,
Inference time:,Dice avg,0.4369963311,0.6988513132,0.685672435119065,0.7010197669,0.7039296332,0.7039296332,0.5770130498,0.6436403792,0.6103267145
0.02018631999,Mean IoU,0.3826954365,0.6913695931,0.6906458735466,0.6850755811,0.6945094466,0.6945094466,0.4858670533,0.5520564914,0.5189617723
,Accuracy,0.8469699025,0.9338744879,0.938519954681397,0.9397342205,0.9342799187,0.9342799187,0.7384415269,0.7776868939,0.7580642104
,Rmse,0.7099456787,0.5088680387,0.48784339427948,0.4744110107,0.492739886,0.492739886,0.5105999112,0.4710486829,0.4908242971
